"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"146","146","8","control","0","27","13","1","2","1","2","0","0","0","1","0","0","0","0","0","1","0","2","0","0"
"147","147","8","control","0","27","10","1","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"148","148","8","control","0","24","11","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","149","8","control","0","26","7","1","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"150","150","8","control","0","25","10","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","151","8","control","0","21","7","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"152","152","8","control","0","34","6","1","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","153","8","control","0","32","7","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","154","8","control","0","37","8","1","2","7","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"155","155","8","control","0","31","10","1","1","6","4","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"156","156","8","control","0","31","7","1","1","4","5","0","0","0","0","0","0","0","0","0","3","0","1","0","0"
"157","157","8","control","0","35","8","1","1","0","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"158","158","8","control","0","24","7","1","4","3","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"159","159","8","control","0","21","5","1","3","1","2","0","0","0","0","0","0","0","2","0","1","0","0","0","0"
"160","160","8","control","0","24","6","1","0","3","2","0","1","0","0","0","0","0","1","0","2","0","0","0","0"
"161","161","8","control","0","22","4","1","3","0","2","0","0","1","0","0","0","0","5","0","1","0","0","0","0"
"162","162","8","control","0","24","2","1","1","0","6","0","0","1","0","0","0","0","4","0","1","0","0","0","0"
"163","163","8","control","0","21","3","1","1","0","6","0","1","1","0","0","0","0","2","0","0","0","0","0","0"
"164","164","8","control","1","23","5","1","0","0","6","0","3","3","0","0","0","0","3","0","2","0","0","0","0"
"165","165","8","control","0","25","5","1","1","1","10","0","1","2","0","0","0","0","0","0","10","0","0","0","1"
"166","166","8","control","0","25","9","0","0","1","7","0","3","1","0","0","0","0","0","0","6","0","0","0","0"
"167","167","8","control","0","20","6","1","0","1","5","0","2","0","0","0","0","0","0","0","5","0","0","0","0"
"168","168","8","control","0","21","6","1","0","2","5","0","6","0","0","0","0","0","0","0","6","0","0","0","1"
"169","169","8","control","0","22","5","1","0","1","2","0","6","0","0","0","0","0","0","0","5","0","0","0","0"
"170","170","8","control","0","27","5","2","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0"
"171","171","8","control","0","22","4","1","0","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1"
"172","172","8","control","0","24","2","2","1","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"173","173","8","control","0","19","7","2","1","0","1","0","0","0","0","0","0","0","7","0","1","0","0","0","0"
"174","174","8","control","0","13","6","1","1","1","2","0","0","0","0","0","0","0","5","0","1","0","0","0","0"
"175","175","8","control","0","14","7","2","1","2","2","0","0","1","0","0","0","0","10","0","0","0","0","0","1"
"176","176","8","control","0","19","4","2","2","2","0","0","1","3","0","0","0","0","11","0","1","0","0","0","1"
"177","177","8","control","0","24","4","1","2","5","2","0","0","4","0","0","0","0","1","0","2","0","0","0","0"
